P (kW);Date;Time Frame;(Ta)¡C;Tm (¡C);I3 (W/m2);I15 (W/m2);;
0;0;23;0;0;0;0;;
0;0;24;0;0;0;0;;
0;0;1;0;0;0;0;;
0;0;2;0;0;0;0;;
0;0;3;0;0;0;0;;
0,013733333;8/20/13 4:59 AM;4;18,29333333;13,28683333;0;0,174888889;;
13,89201667;8/20/13 5:59 AM;5;18,70383333;14,34233333;30,47783333;33,43033333;;
119,02415;8/20/13 6:59 AM;6;22,46816667;21,862;169,6786667;190,1741667;;
285,7347333;8/20/13 7:59 AM;7;27,41783333;37,1275;364,1648333;405,6568333;;
420,1778333;8/20/13 8:59 AM;8;31,57816667;47,57833333;531,4493333;608,1185;;
548,3667333;8/20/13 9:59 AM;9;33,71216667;54,93333333;693,0276667;764,3896667;;
621,04265;8/20/13 10:59 AM;10;35,4755;59,20216667;810,1616667;874,1198333;;
663,7304667;8/20/13 11:59 AM;11;36,85616667;57,7255;885,919;932,0328333;;
660,5031333;8/20/13 12:59 PM;12;37,6295;55,73983333;885,3846667;922,104;;
608,31505;8/20/13 1:59 PM;13;37,22916667;51,2155;814,137;834,5823333;;
453,2054667;8/20/13 2:59 PM;14;34,85316667;43,90666667;610,0336667;615,877;;
262,1145667;8/20/13 3:59 PM;15;32,78316667;36,74766667;354,7568333;355,1775;;
115,8811667;8/20/13 4:59 PM;16;32,06983333;31,63533333;170,7408333;159,338;;
57,74023333;8/20/13 5:59 PM;17;30,68733333;29,23483333;89,97116667;79,6845;;
6,774133333;8/20/13 6:59 PM;18;27,7945;25,59283333;10,40466667;10,50466667;;
0;8/20/13 7:59 PM;19;26,27683333;24,131;0;0,058;;
0;8/20/13 8:59 PM;20;25,9115;24,42933333;0;0;;
0;8/20/13 9:49 PM;21;24,7618;23,4136;0;0;;
0;0;22;0;0;0;0;;
0;0;23;0;0;0;0;;
0;0;24;0;0;0;0;;
0;0;1;0;0;0;0;;
0;0;2;0;0;0;0;;
0;0;3;0;0;0;0;;
0;8/21/13 4:59 AM;4;23,53266667;22,00733333;0;0;;
7,098833333;8/21/13 5:59 AM;5;24,2545;23,3405;13,548;14,88816667;;
60,51883333;8/21/13 6:59 AM;6;25,04633333;24,98033333;89,68166667;95,18683333;;
246,7458833;8/21/13 7:59 AM;7;26,14866667;29,25783333;316,2273333;366,0665;;
370,136;8/21/13 8:59 AM;8;27,83666667;33,55333333;479,9861667;556,8258333;;
424,5716833;8/21/13 9:59 AM;9;29,26116667;35,231;540,3316667;666,6603333;;
523,4942167;8/21/13 10:59 AM;10;30,58116667;39,72433333;671,4016667;709,5381667;;
524,32715;8/21/13 11:59 AM;11;31,36383333;41,178;668,3206667;670,4458333;;
426,6223333;8/21/13 12:59 PM;12;32,01866667;39,71316667;524,4685;584,7131667;;
394,5506;8/21/13 1:59 PM;13;32,78766667;40,55716667;524,8305;526,4388333;;
345,6712167;8/21/13 2:59 PM;14;32,46533333;38,31666667;463,967;438,9728333;;
341,7416;8/21/13 3:59 PM;15;31,93583333;36,264;463,2855;440,1536667;;
155,87105;8/21/13 4:59 PM;16;29,81433333;30,72683333;224,0508333;208,1538333;;
56,85151667;8/21/13 5:59 PM;17;28,132;27,20883333;85,74083333;82,477;;
4,012066667;8/21/13 6:59 PM;18;26,80466667;25,606;6,375333333;7,314666667;;
0;8/21/13 7:59 PM;19;26,12033333;24,46616667;0;0;;
0;8/21/13 8:59 PM;20;25,867;24,54966667;0;0;;
0;8/21/13 9:49 PM;21;25,4626;23,9492;0;0;;
0;0;22;0;0;0;0;;
0;0;23;0;0;0;0;;
0;0;24;0;0;0;0;;
0;0;1;0;0;0;0;;
0;0;2;0;0;0;0;;
0;0;3;0;0;0;0;;
0;8/22/13 4:59 AM;4;24,72066667;23,56883333;0;0,187826087;;
11,45881667;8/22/13 5:59 AM;5;24,82466667;23,84816667;22,5585;24,92333333;;
102,0449667;8/22/13 6:59 AM;6;25,8725;26,41216667;144,5983333;158,9613333;;
254,6918;8/22/13 7:59 AM;7;27,58766667;30,85416667;331,0411667;367,3926667;;
230,7129167;8/22/13 8:59 AM;8;29,35666667;35,98516667;516,5386667;583,373;;
0;8/22/13 9:59 AM;9;30,4625;40,10866667;598,3158333;493,387;;
0;8/22/13 10:59 AM;10;30,602;40,997;693,06;357,08;;
212,5429333;8/22/13 11:59 AM;11;31,15;42,95866667;747,0806667;504,7373333;;
